Tension,Alpha,Beta,Wv,Cv,Ytp1,V,Initial_heel_angle
75,30,-15,-18.004,1.029,1.75,-0.514,0.702
75,30,-15,-10.288,-1.029,1.75,1.543,-2.038
75,30,-15,-5.144,1.543,0.6,-1.029,5.388
75,30,-15,5.144,-0.514,-0.65,1.029,0.081
75,30,-15,15.432,-2.058,1.75,-1.543,6.292
75,30,-15,18.004,0.514,1.75,0.514,6.656
75,30,-5,-20.576,-1.543,0.6,-2.058,-2.793
75,30,-5,-18.004,1.029,-0.65,0,-3.142
75,30,-5,-10.288,-0.514,1.75,2.058,-3.275
75,30,-5,-5.144,2.058,1.75,-0.514,5.135
75,30,-5,5.144,0,0.6,1.543,-0.072
75,30,-5,15.432,-2.058,-0.65,-1.029,2.595
75,30,-5,18.004,1.029,1.75,1.029,5.28
75,35,-85,-20.576,2.058,0.6,-1.543,11.235
75,35,-85,-15.432,0,0.6,0.514,5.203
75,35,-85,-5.144,-1.543,1.75,-2.058,8.609
75,35,-85,0,1.029,1.75,0,9.182
75,35,-85,10.288,-1.029,1.75,2.058,4.118
75,35,-85,15.432,1.543,0.6,-0.514,13.97
75,35,-85,20.576,-0.514,-0.65,1.543,10.498
75,35,-75,-18.004,-2.058,1.75,-1.029,4.268
75,35,-75,-15.432,0.514,1.75,1.029,4.904
75,35,-75,-5.144,-1.543,0.6,-1.543,8.164
75,35,-75,0,1.029,-0.65,0.514,8.373
75,35,-75,10.288,-0.514,1.75,-2.058,11.681
75,35,-75,15.432,2.058,1.75,0,13.767
75,35,-75,20.576,0,0.6,2.058,10.23
75,35,-65,-18.004,-2.058,-0.65,-0.514,2.997
75,35,-65,-15.432,1.029,1.75,1.543,4.4
75,35,-65,-5.144,-1.029,1.75,-1.029,7.888
75,35,-65,0,1.543,0.6,1.029,8.154
75,35,-65,10.288,-0.514,-0.65,-1.543,10.248
75,35,-65,18.004,-2.058,1.75,0.514,8.206
75,35,-55,-18.004,-1.543,0.6,0,2.182
75,35,-55,-15.432,1.029,0.6,2.058,3.086
75,35,-55,-5.144,-0.514,1.75,-0.514,7.372
75,35,-55,0,2.058,1.75,1.543,7.761
75,35,-55,10.288,0,0.6,-1.029,9.533
75,35,-55,18.004,-2.058,0.6,1.029,5.615
75,35,-45,-18.004,-1.029,1.75,0.514,1.442
75,35,-45,-15.432,1.543,0.6,-2.058,10.895
75,35,-45,-5.144,-0.514,0.6,0,5.399
75,35,-45,0,2.058,-0.65,2.058,4.808
75,35,-45,10.288,0.514,1.75,-0.514,8.879
75,35,-45,18.004,-1.543,1.75,1.543,4.886
75,35,-45,20.576,1.029,0.6,-1.029,14
75,35,-35,-18.004,-1.029,-0.65,1.029,-2.73
75,35,-35,-15.432,2.058,1.75,-1.543,10.368
75,35,-35,-5.144,0,1.75,0.514,4.963
75,35,-35,5.144,-2.058,0.6,-2.058,5.2
75,35,-35,10.288,0.514,-0.65,0,4.996
75,35,-35,18.004,-1.029,1.75,2.058,3.413
75,35,-35,20.576,1.543,1.75,-0.514,13.404
75,35,-25,-18.004,-0.514,0.6,1.543,-3.236
75,35,-25,-15.432,2.058,-0.65,-1.029,5.016
75,35,-25,-5.144,0.514,1.75,1.029,3.664
75,35,-25,5.144,-1.543,1.75,-1.543,4.79
75,35,-25,10.288,1.029,0.6,0.514,4.639
75,35,-25,18.004,-1.029,-0.65,-2.058,7.82
75,35,-25,20.576,2.058,1.75,0,11.861
75,35,-15,-18.004,0,1.75,2.058,-3.808
75,35,-15,-10.288,-2.058,0.6,-0.514,-0.135
75,35,-15,-5.144,0.514,0.6,1.543,1.125
75,35,-15,5.144,-1.029,1.75,-1.029,3.499
75,35,-15,10.288,1.543,1.75,1.029,4.201
75,35,-15,18.004,-0.514,0.6,-1.543,7.33
75,35,-15,20.576,2.058,0.6,0.514,8.33
75,35,-5,-18.004,0.514,1.75,-2.058,2.369
75,35,-5,-10.288,-1.543,1.75,0,-0.569
75,35,-5,-5.144,1.029,1.75,2.058,0.727
75,35,-5,5.144,-1.029,0.6,-0.514,1.25
75,35,-5,10.288,1.543,-0.65,1.543,0.975
75,35,-5,18.004,0,1.75,-1.029,6.736
75,38,-85,-20.576,1.029,0.6,1.029,3.049
75,38,-85,-15.432,-1.029,-0.65,-1.543,6.386
75,38,-85,-10.288,2.058,1.75,0.514,8.708
75,38,-85,0,0,1.75,-2.058,11.282
75,38,-85,10.288,-2.058,0.6,0,7.663
75,38,-85,15.432,0.514,0.6,2.058,9.62
75,38,-85,20.576,-1.029,1.75,-0.514,14.236
75,38,-75,-20.576,1.543,1.75,1.543,2.66
75,38,-75,-15.432,-0.514,0.6,-1.029,6.125
75,38,-75,-10.288,2.058,0.6,1.029,7.548
75,38,-75,0,0.514,1.75,-1.543,11.087
75,38,-75,10.288,-1.543,1.75,0.514,7.454
75,38,-75,20.576,-1.029,0.6,0,13.21
75,38,-65,-20.576,1.543,-0.65,2.058,1.9
75,38,-65,-15.432,0,1.75,-0.514,5.682
75,38,-65,-5.144,-2.058,1.75,1.543,0.733
75,38,-65,0,0.514,0.6,-1.029,9.578
75,38,-65,10.288,-1.543,-0.65,1.029,5.543
75,38,-65,20.576,-0.514,1.75,0.514,12.768
75,38,-55,-20.576,2.058,0.6,-2.058,12.726
75,38,-55,-15.432,0,-0.65,0,3.662
75,38,-55,0,1.029,1.75,-0.514,9.176
75,38,-55,10.288,-1.029,0.6,1.543,4.814
75,38,-55,15.432,1.543,-0.65,-1.029,13.493
75,38,-55,20.576,0,1.75,1.029,12.022
75,38,-45,-18.004,-2.058,1.75,-1.543,3.523
75,38,-45,-15.432,0.514,0.6,0.514,2.998
75,38,-45,-5.144,-1.543,-0.65,-2.058,5.08
75,38,-45,0,1.543,1.75,0,8.302
75,38,-45,10.288,-0.514,1.75,2.058,4.151
75,38,-45,15.432,2.058,0.6,-0.514,12.893
75,38,-45,20.576,0,0.6,1.543,9.206
75,38,-35,-18.004,-1.543,1.75,-1.029,2.04
75,38,-35,-15.432,1.029,1.75,1.029,2.381
75,38,-35,-5.144,-1.029,0.6,-1.543,4.704
75,38,-35,0,1.543,0.6,0.514,5.285
75,38,-35,10.288,0,1.75,-2.058,9.892
75,38,-35,18.004,-2.058,1.75,0,7.256
75,38,-35,20.576,0.514,1.75,2.058,8.542
75,38,-25,-18.004,-1.543,0.6,-0.514,-0.608
75,38,-25,-15.432,1.029,-0.65,1.543,-0.875
75,38,-25,-5.144,-0.514,1.75,-1.029,4.264
75,38,-25,0,2.058,1.75,1.029,4.881
75,38,-25,10.288,0,0.6,-1.543,6.433
75,38,-25,18.004,-2.058,-0.65,0.514,2.651
75,38,-25,20.576,1.029,1.75,-2.058,16.325
75,38,-15,-18.004,-1.029,1.75,0,-1.209
75,38,-15,-15.432,1.543,0.6,2.058,-1.402
75,38,-15,-5.144,-0.514,-0.65,-0.514,1.103
75,38,-15,5.144,-2.058,1.75,1.543,-3.524
75,38,-15,10.288,0.514,1.75,-1.029,5.88
75,38,-15,18.004,-1.543,0.6,1.029,2.133
75,38,-15,20.576,1.029,-0.65,-1.543,10.882
75,38,-5,-18.004,-0.514,1.75,0.514,-2.643
75,38,-5,-15.432,2.058,1.75,-2.058,8.879
75,38,-5,-5.144,0,0.6,0,0.724
75,38,-5,5.144,-2.058,0.6,2.058,-7.868
75,38,-5,10.288,1.029,1.75,-0.514,4.46
75,38,-5,18.004,-1.029,1.75,1.543,1.537
75,38,-5,20.576,1.543,0.6,-1.029,10.265
75,40,-85,-20.576,0,0.6,-1.029,4.746
75,40,-85,-15.432,-2.058,-0.65,1.029,0.48
75,40,-85,-10.288,1.029,1.75,-1.543,11.768
75,40,-85,0,-1.029,1.75,0.514,7.618
75,40,-85,5.144,1.543,0.6,-2.058,17.703
75,40,-85,15.432,-0.514,-0.65,0,11.53
75,40,-85,20.576,-2.058,1.75,2.058,3.788
75,40,-75,-20.576,0.514,1.75,-0.514,4.388
75,40,-75,-10.288,1.029,-0.65,-1.029,9.874
75,40,-75,0,-0.514,1.75,1.029,7.428
75,40,-75,5.144,2.058,1.75,-1.543,17.575
75,40,-75,15.432,0,0.6,0.514,11.318
75,40,-75,20.576,-2.058,-0.65,-2.058,14.837
75,40,-65,-20.576,1.029,1.75,0,3.805
75,40,-65,-15.432,-1.029,1.75,2.058,-0.392
75,40,-65,-10.288,1.543,0.6,-0.514,9.537
75,40,-65,0,-0.514,0.6,1.543,5.954
75,40,-65,10.288,-2.058,1.75,-1.029,9.463
75,40,-65,15.432,0.514,1.75,1.029,10.912
75,40,-65,20.576,-1.543,0.6,-1.543,14.399
75,40,-55,-20.576,1.029,0.6,0.514,2.421
75,40,-55,-15.432,-0.514,1.75,-2.058,7.019
75,40,-55,-10.288,2.058,1.75,0,8.996
75,40,-55,0,0,1.75,2.058,5.5
75,40,-55,10.288,-2.058,0.6,-0.514,7.743
75,40,-55,15.432,0.514,-0.65,1.543,8.419
75,40,-55,20.576,-1.029,1.75,-1.029,13.762
75,40,-45,-20.576,1.543,1.75,1.029,1.58
75,40,-45,-15.432,-0.514,0.6,-1.543,4.379
75,40,-45,-10.288,2.058,-0.65,0.514,5.06
75,40,-45,0,0.514,1.75,-2.058,10.839
75,40,-45,10.288,-1.543,1.75,0,7.02
75,40,-45,15.432,1.029,0.6,2.058,7.758
75,40,-45,20.576,-1.029,-0.65,-0.514,10.511
75,40,-35,-15.432,0,1.75,-1.029,3.746
75,40,-35,-5.144,-2.058,0.6,1.029,-0.621
75,40,-35,0,0.514,-0.65,-1.543,6.185
75,40,-35,10.288,-1.029,1.75,0.514,5.527
75,40,-35,15.432,1.543,1.75,-2.058,17.828
75,40,-35,20.576,-0.514,0.6,0,9.898
75,40,-25,-20.576,2.058,0.6,2.058,-2.382
75,40,-25,-15.432,0.514,1.75,-0.514,2.304
75,40,-25,-5.144,-1.543,1.75,1.543,-1.139
75,40,-25,0,1.029,0.6,-1.029,5.816
75,40,-25,10.288,-1.029,0.6,1.029,2.306
75,40,-25,15.432,2.058,1.75,-1.543,15.233
75,40,-25,20.576,0,1.75,0.514,9.194
75,40,-15,-18.004,-2.058,0.6,-2.058,-0.642
75,40,-15,-15.432,0.514,0.6,0,-0.322
75,40,-15,-5.144,-1.543,-0.65,2.058,-5.984
75,40,-15,0,1.543,1.75,-0.514,5.354
75,40,-15,10.288,-0.514,1.75,1.543,1.76
75,40,-15,15.432,2.058,0.6,-1.029,10.814
75,40,-15,20.576,0,-0.65,1.029,5.322
